Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
Looking Facebook social Media Manager For our Digital Marketing Ageny,"3,50,000-5,00,000",2-4,digital_marketing seo social_media_marketing content_marketing email_marketing sem google_analytics campaign_management facebook media_management,Online Digital_Marketing,GURGAON,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Social Media Marketing Manager
Wanted Engineering Fresher For MNC Chennai,Not Disclosed by Recruiter,0-1,instrumentation_engineering electrical_engineering engineering fresher trainee immediate mechanical_engineering electronics_engineering undergraduate,N.A.,CHENNAI,Other,Other,Other
Tooling amp Sampling,Not Disclosed by Recruiter,2-7,help_desk customer_service customer_relationship access_controls asset_management vendor_management,Engineering_Design,FARIDABAD,Engineering_Design R&D,Industrial_Products Heavy_Machinery,Senior Design Engineer
Account Manager,Not Disclosed by Recruiter,3-7,report_generation policies analytical procedures analysts data_entry analytical_skills,Accounts,MUMBAI,Accounts Finance Tax Company_Secretary Audit,IT-Software Software_Services,Accounts Manager
Magento Developer,Not Disclosed by Recruiter,2-7,copyright email jquery xml javascript cakephp customer_service open_source facebook css3,Programming_&_Design,AHMEDABAD,IT_Software,Textiles Garments Accessories,Software Developer
Looking For Trained Freshers in MS Dynamics CRM Hyderabad,Not Disclosed by Recruiter,0-3,c# ms_dynamics_crm microsoft_dynamics ms_dynamics,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
Job Openings Kotak Life Max Life Aditya Birla Health for Sales Mgr,"1,00,000-3,25,000",3-7,sales_manager business_development_manager relationship_manager brokers insurance_sales channel_sales direct_sale direct_marketing sales marketing_executive territory_sales_manager,Retail Personal_Banking,BHILLAI BHILWARA CHANDIGARH BIKANER BHILAI BOKARO BILASPUR BURDWAN BHOPAL BHUBANESHWAR,Financial_Services Banking Investments Insurance,Insurance,Sales Officer
Business Development Corporate Sales,"2,50,000-4,50,000",0-4,lead_generation business_development corporate_sales,Sales,NCR DELHI,Sales Retail Business_Development,IT-Software Software_Services,Sales/Business Development Manager
Business Development Manager BDM ,Not Disclosed by Recruiter,2-5,contract_management closing it_services relationship_building managed_services selling market_research business_development_manager sales,Sales,DELHI,Sales Retail Business_Development,IT-Software Software_Services,Sales/Business Development Manager
QA Executive,"2,00,000-3,00,000",2-5,qa_executive,QA Testing Documentation,HYDERABAD,IT_Software,Pharma Biotech Clinical_Research,Quality Assurance/Quality Control Executive
Back End Java Developer Restful Services soap,Not Disclosed by Recruiter,6-8,java_ee jms core_java junit weblogic html jpa json soap sql,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Product Engineer,Not Disclosed by Recruiter,4-9,conceptualization architecting continuous_improvement side development front_end it,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Opening For Articulate tool Developer Articulate Captivate chennai,"2,00,000-4,00,000",3-5,articulate_storyline,Programming_&_Design,CHENNAI,IT_Software,Animation Gaming,Graphic/Web Designer
Urgent Hiring for Area Sales Manager,Not Disclosed by Recruiter,7-12,area_sales_management retail_sales fmcg chocolate confectionary asm area_sales_manager area_business_manager,Sales,GURGAON AMBALA,Sales Retail Business_Development,FMCG Foods Beverage,Area Sales Manager
Software Engineer C Development Ooad oops,Not Disclosed by Recruiter,4-9,c# java oop c++ multithreading uml ooad oops .net debugging,Programming_&_Design,CHENNAI,IT_Software,IT-Software Software_Services,Software Developer
Linux Administrator Lead,Not Disclosed by Recruiter,5-10,qmail workflow nagios windows_server networking mysql monitoring redhat maintaining centos,N.A.,GURGAON,IT_Software,IT-Software Software_Services,System Administrator
Hiring for Tech Pm scrum Master for Hyderabad Location,Not Disclosed by Recruiter,8-10,java jpa hibernate project_management jdbc scrum_master microservices agile soap rest,Project_Management,HYDERABAD,IT_Software,IT-Software Software_Services,Project Manager-IT/Software
US Based Financial Company Looking For Java API Engineers For HYD,Not Disclosed by Recruiter,6-8,java java_api banking j2ee api finance core_java microservices,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
Strong Partner Ecosystem,Not Disclosed by Recruiter,2-7,gis iso_27001 hr information_system process iso_9001 information_security_management gis_software management edge,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Project Lead
Senior Executive Contract Logistics Bom WP A,Not Disclosed by Recruiter,2-5,administration administrative_support contract_logistics staff_development site_management quality_improvement warehousing warehouse_operations,Logistics,MUMBAI,Purchase Logistics Supply_Chain,Courier Transportation Freight Warehousing,Logistics Executive
Accounts Manager,Not Disclosed by Recruiter,2-3,filing tds service_industry pf esi returns coaching payroll invoice tally,Accounts,MUMBAI,Accounts Finance Tax Company_Secretary Audit,Security Law_Enforcement,Accounts Executive/Accountant
Technical Sales Executive with fixed pay lucrative incentives UK Inb,Not Disclosed by Recruiter,0-3,outbound antivirus technical_support sales spot inbound_calls pay medical comp,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
nutanix sme ,Not Disclosed by Recruiter,15-20,troubleshooting dns dhcp monitoring virtualization shell_scripting python vms open_source archiving,Technical_Support,BENGALURU,IT_Hardware Technical_Support Telecom_Engineering,IT-Software Software_Services,Technical Support Manager
System Architect g g Wireless Network Architecture Migration,Not Disclosed by Recruiter,10-16,4g 3gpp 3g system_architect lte radio_access_network phd ieee,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Technical Architect
Excellent Opportunity For Linux Device Driver for Hyderabad and Ban,Not Disclosed by Recruiter,2-7,arm_processor device_drivers embedded_linux linux_kernel ipc,Programming_&_Design,BENGALURU HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
Java Developer,"9,00,000-17,00,000",6-8,jms core_java sonar weblogic xml j2ee svn spring oracle_11g sql,N.A.,PUNE,Other,Other,Other
Regional Representative,Not Disclosed by Recruiter,0-3,market presentation strong_analytical_skills english presentation_skills developing customer_interaction,Sales,NOIDA,Sales Retail Business_Development,IT-Software Software_Services,Sales/Business Development Manager
Hiring For Record To Report,"1,00,000-4,00,000",1-4,fixed_assets accounts_payable record_to_report general_accounting general_ledger,Voice,GURGAON NOIDA,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
Product Regional Sales Manager,Not Disclosed by Recruiter,3-6,team_management regional_sales management,Sales,MUMBAI,Sales Retail Business_Development,Strategy Management_Consulting_Firms,Regional Manager
Senior Manager associate Director Mandarin,Not Disclosed by Recruiter,10-15,commercial_activities commercial_sales online_sales senior_management budgeting strategy_implementation marketing e_-_commerce,Senior_Management,GURGAON DELHI,Sales Retail Business_Development,Internet Ecommerce,Head / VP/ GM/ National Manager After Sales
ODI Developer lead ODI Developer RACI,Not Disclosed by Recruiter,5-10,odi matrix,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Software Developer
UI Developer,Not Disclosed by Recruiter,2-4,javascript sql php php_mysql css software_development technical photoshop mca ajax jquery application web design mysql html,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer
Assistant Manager ,Not Disclosed by Recruiter,5-8,relationship_management relationship_building client_relationship training analytical_skills process_mapping standard_operating_procedures agile management visa_processing,Voice,GURGAON,ITES BPO KPO LPO Customer_Service Operations,Education Teaching Training,Associate/Senior Associate -(NonTechnical)
Android Developer,Not Disclosed by Recruiter,2-5,android btech iphone server analytical developing ios platforms objective_c web xml design json programming development c testing mobile xcode application_development eclipse application sdk applications,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
International BPO Non Voice Process Rotational Shift Ahmedabad,"2,00,000-3,75,000",1-4,cca bpo csr international_bpo customer_service outbound_process customer_care tourism customer_support fresher voice_process inbound_process cse bpo_fresher voice_support hotel travel,Voice,AHMEDABAD,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
iOS Developer,Not Disclosed by Recruiter,2-5,bca graphics application_development b_tech core b_sc application b_e ios publishing animation,Programming_&_Design,CHANDIGARH,IT_Software,IT-Software Software_Services,Software Developer
F A Black belt Process Excellence Lead,Not Disclosed by Recruiter,8-13,accounting continuous_improvement process_improvement load_balancing lean_six_sigma black_belt training green_belt process_re_-_engineering process_excellence business_excellence otc,Back_Office Web Transaction_Processing,GURGAON CHENNAI BENGALURU,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Team Leader -(NonTechnical)
IT Head preferably from an NGO ,"19,00,000-25,00,000",15-20,networking information_technology network_administration technical_support support_services license_management disaster_recovery data_security it_training it_software,N.A.,NCR DELHI,Other,NGO Social_Services Regulators Industry_Associations,Other
Digital Content Producer For largest Media House,"4,00,000-6,00,000",3-8,automobile digital_content content_development production web_content_writing,Content_Development,BENGALURU HYDERABAD,Journalism Editing Content,Media Entertainment Internet,Content Developer
Manager Holidays,"10,00,000-12,00,000",6-10,tourism target_achievement negotiation_skills revenue_management tour_packages,Sales,MUMBAI,Sales Retail Business_Development,Aviation Aerospace Aeronautical,Sales/Business Development Manager
Backend Developer,Not Disclosed by Recruiter,1-5,php networking data_structures http json software_design computer_science system_design backend ticketing,Programming_&_Design,BENGALURU,IT_Software,Internet Ecommerce,Software Developer
Chief Engineer,Not Disclosed by Recruiter,11-15,chief_engineer hospitality hvac maintenance water_treatment energy_conservation capital_expenditure,N.A.,HYDERABAD,Top_Management,Travel Hotels Restaurants Airlines Railways,CEO/MD/Director
Oracle DBA Consultant Data Guard rac Modules,Not Disclosed by Recruiter,2-5,weblogic configuration mysql installation oracle_dba troubleshooting oracle_rac,N.A.,MUMBAI,IT_Software,IT-Software Software_Services,DBA
Global HR Operations Analyst,Not Disclosed by Recruiter,1-4,service_level data_management hr_coordinator management_audit hr_operations human_resource_management,HR Recruitment IR,GURGAON,HR Recruitment Administration IR,Industrial_Products Heavy_Machinery,HR Executive
Compiler Support Engineer,Not Disclosed by Recruiter,5-10,graphics c++ windows_os linux high_performance_computing test_cases system_software gaming freebsd,Programming_&_Design,BENGALURU,IT_Software,Telcom ISP,Software Developer
Head Sales Coworking Company,Not Disclosed by Recruiter,7-12,sales team_building strategic_leadership real_estate field_sales sales_strategy enterprise_business go_-_to_-_market_strategy enterprise_sales sales_executive_activities marketing,Senior_Management,NCR DELHI,Sales Retail Business_Development,Real_Estate Property,Head/VP/GM/National Manager -Sales
Clubhouse Manager Facility Manager ,Not Disclosed by Recruiter,2-5,facility_management facility_services,Health_&_Fitness,BENGALURU,Beauty Fitness Spa_Services,Facility_Management,Centre Head / Branch Head / Club Manager
IP DRG Surgery ED Denials Coders,"3,00,000-7,00,000",1-5,sds radiology cpt icd_-_10 em medical_coding coders surgery ed,Voice,CHENNAI HYDERABAD TRIVANDRUM,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
Sales Manager Education Sales,Not Disclosed by Recruiter,5-7,market_analysis public_relations cv relationship_building market_intelligence prospecting budgeting sales_process branding,Sales,GURGAON,Sales Retail Business_Development,Recruitment Staffing,Sales/Business Development Manager
HR Associate,Not Disclosed by Recruiter,0-2,erp mis succession_planning reports talent_management human_resources hr_policies recruitment talent_acquisition,HR Recruitment IR,HYDERABAD,HR Recruitment Administration IR,IT-Software Software_Services,HR Executive
Manager Sr Manager Digital Ad Sales Ecommerce,Not Disclosed by Recruiter,4-9,revenue_generation marketing ad_sales web_technologies,Sales,MUMBAI NCR DELHI,Sales Retail Business_Development,Internet Ecommerce,Sales/Business Development Manager
Architect Junior Middle level,Not Disclosed by Recruiter,1-2,co_ordination team_management drafting loans online coordination quality,Architectural_Services,NOIDA,Architecture Interior_Design,BPO Call_Centre ITeS,Project Architect
php developer,Not Disclosed by Recruiter,3-4,english php xml dom soap com web_technologies written_communication email time,Programming_&_Design,GURGAON,IT_Software,Recruitment Staffing,Software Developer
Openstack Engineer Openstack Admin with Ceph Storage,Not Disclosed by Recruiter,6-11,cloud puppet python git kvm linux jenkins openstack ansible,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,System Analyst
Sr Software Engineer,Not Disclosed by Recruiter,4-8,national branch vice_president j2ee software,Programming_&_Design,NOIDA,IT_Software,Strategy Management_Consulting_Firms,Software Developer
Software Engineering Mentor,Not Disclosed by Recruiter,1-5,mentor android consulting usage development software mobile it side front_end web_technologies coding web backend open_source programming investment,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Application Tester,Not Disclosed by Recruiter,3-8,performance_testing software_testing manual_testing quality_testing,Programming_&_Design,CHENNAI,IT_Software,IT-Software Software_Services,Testing Engineer
Credit Control Manager Asst Manager,"2,50,000-6,00,000",3-5,pivot_table credit_analysis tally_erp accounting vlookup finance lookup advanced_excel hlookup credit_control,N.A.,PUNE,Other,Travel Hotels Restaurants Airlines Railways,Other
Night Shift Non Voice Web Chat BPO,"1,75,000-3,00,000",0-5,international_bpo bpo kpo web_chat non_voice_process e_mail international_call_center customer_service_representative cse interpersonal_skills ites uk_shift customer_service e_-_commerce customer_care customer_support bpo_fresher,Voice,AHMEDABAD GANDHINAGAR VADODARA,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
Sales Executive,Not Disclosed by Recruiter,2-4,innovative aggressive,Front_Office Customer_Care,GURGAON BENGALURU HYDERABAD,Hotels Restaurants,Travel Hotels Restaurants Airlines Railways,Front Office/Guest Relations Executive/Manager
Design Engineer Mechanical,Not Disclosed by Recruiter,7-12,communication_skills detail_engineering material_handling autocad detailing design_engineering microstation bid_evaluation,Engineering_Design,KOLKATA,Engineering_Design R&D,Oil_and_Gas Energy Power Infrastructure,Design Engineer
Android developer,Not Disclosed by Recruiter,1-3,design android erp software mvc quality,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Technical Writer,Not Disclosed by Recruiter,4-7,technical_writing technical_documentation articles writing_skills product_support,QA Testing Documentation,GURGAON,IT_Software,IT-Software Software_Services,Technical Writer
Pro Engineer Matlab Ansys,Not Disclosed by Recruiter,3-7,ansys thermal matlab system_design recruitment mccb electricals,Engineering_Design,HYDERABAD,Engineering_Design R&D,Recruitment Staffing,Design Engineer
Business Development Executive Kolkata,Not Disclosed by Recruiter,2-6,product_placement market_research distributor_handling business_development_executive customer_service customer_service_executive secondary_sales supervision,Sales,KOLKATA,Sales Retail Business_Development,Textiles Garments Accessories,Sales/Business Development Manager
Accountant UK Based Accounting,Not Disclosed by Recruiter,1-6,management_accounting accounting vat book_keeping sage tax_returns,Accounts,AHMEDABAD,Accounts Finance Tax Company_Secretary Audit,Recruitment Staffing,Accounts Executive/Accountant
Opportunity For Current Account RM bank Delhi,"5,00,000-7,50,000",2-7,trade forex_trading forex fx lead_generation accounting banking revenue_generation current_account,Sales,NCR DELHI,Sales Retail Business_Development,Banking Financial_Services Broking,Sales/Business Development Manager
PHP Developer,Not Disclosed by Recruiter,1-5,xml javascript php development css technical analytical software testing html tools joomla coding jquery web mysql wordpress design xhtml debugging ajax,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer
Senior Engineering Maintenance Manager For Knitting and ZLD System,Not Disclosed by Recruiter,12-22,zld engineering_management knitting,N.A.,BENGALURU,Production Manufacturing Maintenance,Textiles Garments Accessories,Engineering Manager
Accounting Specialist,Not Disclosed by Recruiter,0-3,analyst erp change_management business_objects managed_services business_process_mapping executive_management data_mining oracle_project_accounting testing,Accounts,PUNE,Accounts Finance Tax Company_Secretary Audit,IT-Software Software_Services,Accounts Executive/Accountant
Manager Service Operation ,Not Disclosed by Recruiter,8-12,erp succession_planning mis reports talent_management human_resources hr_policies recruitment talent_acquisition,HR Recruitment IR,CHENNAI,HR Recruitment Administration IR,Construction Engineering Cement Metals,Training Manager
DevOps Engineer Intern,Not Disclosed by Recruiter,0-1,intern linux windows unix dns c++ perl iis redhat http,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
PHP Developer wordpress Woo Commerce shopify Magento ,Not Disclosed by Recruiter,2-5,c woocommerce magento wordpress mysql php shopify jquery web_development ajax,Programming_&_Design,AHMEDABAD,IT_Software,IT-Software Software_Services,Software Developer
Java Developer,Not Disclosed by Recruiter,1-2,css singleton xml javascript jdbc struts json html spring_boot jquery,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Software Developer
Sr Manager Business Development,Not Disclosed by Recruiter,15-22,business_development_management bd marketing business_development projects business_development_manager bdm tendering proposal,Sales,AHMEDABAD,Sales Retail Business_Development,Construction Engineering Cement Metals,Sales/Business Development Manager
Test Principal Engineer,Not Disclosed by Recruiter,8-10,ethical_hacking certified_ethical_hacker networking_protocols penetration_testing nessus nmap fortify vulnerability_assessment appscan qualys,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Testing Engineer
Graphic Designer,Not Disclosed by Recruiter,2-7,graphic_designing graphics adobe_creative_suite architecture ms_office business_executive,Creative,AHMEDABAD,Design Creative User_Experience,Architecture Interior_Design,Graphic Designer
Business Development Executive,Not Disclosed by Recruiter,1-3,payment_collection costing business_development_executive lead_generation sales vendor cost,Sales,BENGALURU,Sales Retail Business_Development,Recruitment Staffing,Sales Executive/Officer
Animation Resident,Not Disclosed by Recruiter,2-6,internship digital_marketing social_media relationship_building animation creative indesign business_executive presentation_skills senior,Advertising,DELHI,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Client Servicing Executive
Enterprise Business Development Representative,Not Disclosed by Recruiter,1-3,market_penetration marketing customer_satisfaction enterprise_business web_technologies business_development strategy aws sales,Sales,BENGALURU,Sales Retail Business_Development,IT-Software Software_Services,Sales Executive / Officer
Dot Net Developer,Not Disclosed by Recruiter,2-5,jquery git microsoft_sql_server net_asp_net software testing ado.net microsoft tools sql unit_tests database application web design .net object_oriented_programming support programming,Programming_&_Design,GURGAON CHENNAI,IT_Software,IT-Software Software_Services,Software Developer
Urgent Opening for US Staffing Professionals Noida,Not Disclosed by Recruiter,1-5,technical_recruitment us_staffing us_recruitment us_recruiter us_it_staffing technical_recruiter it_recruiter recruiter w2 c2c talent_acquisition recruitment staffing sourcing,HR Recruitment IR,NOIDA NCR DELHI,HR Recruitment Administration IR,Recruitment Staffing,Recruitment Executive
Front Office Executive Noida,Not Disclosed by Recruiter,1-2,front_office_executive,N.A.,NOIDA,Executive_Assistant Front_Office Data_Entry,Recruitment Staffing,Receptionist
Project Executive coordinator,"3,00,000-5,00,000",2-4,project_administration coordination,Sales,DELHI,Sales Retail Business_Development,Industrial_Products Heavy_Machinery,Sales Coordinator
Sterling OMS Architect,Not Disclosed by Recruiter,5-10,order_management_system sterling_commerce sterling oms sterling_integrator ecommerce e_-_commerce,Programming_&_Design,CHENNAI,IT_Software,IT-Software Software_Services,Solution Architect / Enterprise Architect
Dot net Developer,Not Disclosed by Recruiter,3-5,analytical documentation web_development algorithms development javascript sql_server jquery database web flex design mysql net,Programming_&_Design,GURGAON,IT_Software,IT-Software Software_Services,Software Developer
Centreless Grinding Operator ,Not Disclosed by Recruiter,4-8,nctvt,N.A.,PUNE,Production Manufacturing Maintenance,Internet Ecommerce,Workman/Foreman/Technician
PHP Developer Jobs In Gurgaon Team Lead PHP,Not Disclosed by Recruiter,8-13,drupal application_programming mysql wordpress php cakephp team_leader mvc zend software_services,Programming_&_Design,GURGAON,IT_Software,Recruitment Staffing,Software Developer
Sales Lead,Not Disclosed by Recruiter,3-7,outbound sales project_management analytical sales_lead automation_tools sales_process marketing_automation,Sales,BENGALURU,Sales Retail Business_Development,Internet Ecommerce,Sales Executive/Officer
Senior Design Engineer Manufacturing,Not Disclosed by Recruiter,6-8,autocad 3d_modeling fmea mechanical_engineering mechanical_design solidworks,N.A.,PUNE,Production Manufacturing Maintenance,Industrial_Products Heavy_Machinery,Design Engineer/Manager
Software Engineer Automation Industrial Automation Job In Bangalore,Not Disclosed by Recruiter,3-5,automation_engineer,Engineering_Design,BENGALURU,Engineering_Design R&D,Industrial_Products Heavy_Machinery,Technical Lead/Project Lead
Looking For Assistant Manager Healthcare US Visa is Must ,"3,75,000-8,75,000",5-10,revenue_cycle_management us_healthcare payment_posting medical_billing medical_coding us_visa team_leading_skills healthcare denial_management rcm,Back_Office Web Transaction_Processing,CHENNAI,ITES BPO KPO LPO Customer_Service Operations,Medical Healthcare Hospitals,Team Leader -(NonTechnical)
QA for Voice Process LE N C ,Not Disclosed by Recruiter,2-6,voice_process qaqc writing process_operations verbal,Quality,PUNE,ITES BPO KPO LPO Customer_Service Operations,Internet Ecommerce,Quality Assurance/Quality Control Executive
Senior Resident Obs Gynae Max Hospital Gurgaon,Not Disclosed by Recruiter,0-3,patient_care nursing people_orientation report_generation service_quality disaster_management customer_care medical process_orientation,N.A.,NCR DELHI,Other,Medical Healthcare Hospitals,Other
Manager senior Manager Analytics Life Annuities Insurance Domain,Not Disclosed by Recruiter,4-9,predictive_modeling sas data_management data_mining tableau data_analytics statistics analytics sql python,Analytics_&_BI,GURGAON,Analytics_&_Business_Intelligence,IT-Software Software_Services,Analytics Manager
Executive Medical Coder,Not Disclosed by Recruiter,0-0,molecular_biology chemistry biotechnology bhms biology physiotherapy microbiology nursing biomedical physics medical_coding biochemistry pharmacy ophthalmology micro_biology bioinformatics zoology biotech,Other,CHENNAI COIMBATORE THANJAVUR KARUR HOSUR SALEM,ITES BPO KPO LPO Customer_Service Operations,Medical Healthcare Hospitals,Trainee
Account Assistant,Not Disclosed by Recruiter,3-5,accounts_executive accountant stock_management gst auditing statutory_compliance accounting account_assistant bank_reconciliation tax_audit banking monthly_reports payroll salary_processing income_tax income_tax_return taxation,Accounts,PUNE,Accounts Finance Tax Company_Secretary Audit,Architecture Interior_Design,Accounts Executive/Accountant
Informatica Faculty Job Requirement in Hyderabad,Not Disclosed by Recruiter,1-6,informatica_power_center informatica,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
SEO Expert Digital Marketing Gurgaon,"2,25,000-4,25,000",2-4,digital_marketing seo_specialist advertising_agency online_marketing seo seo_expert facebook_marketing,Online Digital_Marketing,GURGAON,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Search Engine Optimisation /SEO Specialist
Head Engineering,"2,00,000-3,75,000",5-10,validation installation breakdown_maintenance industrial_safety gmp boiler design hvac gensets air_compressor breakdown ro who,N.A.,DELHI,Production Manufacturing Maintenance,Pharma Biotech Clinical_Research,Engineering Manager
Business Development Executive,Not Disclosed by Recruiter,5-10,forecasting,N.A.,DELHI,Accounts Finance Tax Company_Secretary Audit,Oil_and_Gas Energy Power Infrastructure,Financial Analyst
PPC Executive,Not Disclosed by Recruiter,3-7,pay_per_click google_adwords search_engine_marketing ppc sem google_analytics website_analysis yahoo web_analytics marketing_initiatives,Online Digital_Marketing,GURGAON,Marketing Advertising MR PR Media_Planning,IT-Software Software_Services,PPC /Pay Per Click Specialist
Opening For the post of Mr territory Business Manager in An Pharma,"2,00,000-3,00,000",0-2,marketing_officer pharma_sales marketing_representative marketing_executive pharma_marketing sales_officer sales_representative business_development_executive fresher trainee sales_executive,Sales,NCR DELHI,Sales Retail Business_Development,Pharma Biotech Clinical_Research,Medical Representative
Deputy Manager Program Management,Not Disclosed by Recruiter,2-6,project_management ppap automotive external_audit conflict_resolution resource_mobilization pfmea risk_management project_life_cycle,N.A.,PUNE,Production Manufacturing Maintenance,Industrial_Products Heavy_Machinery,Project Manager-Production/Manufacturing/Maintenance
Public Relations Manager Bangalore,"8,00,000-12,00,000",6-11,pr public_relations media_relations social_media marketing_communication corporate_communication media_relation corp_comm online_media public_relation journalism advertising mass_communication,Public_Relations,BENGALURU,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Public Relations & Media Relations Manager
Female Fresher s Counsellor Gurgaon,Not Disclosed by Recruiter,0-1,counselling couselling fresher student_counsellor student_counseling,Other,GURGAON,ITES BPO KPO LPO Customer_Service Operations,Education Teaching Training,Fresher
BE Chemical Fresher,Not Disclosed by Recruiter,0-2,help_desk customer_service customer_relationship access_controls asset_management vendor_management,Other,BHARUCH AHMEDABAD,Production Manufacturing Maintenance,Recruitment Staffing,Fresher
Senior Net Developer For Leading IT Company in Gurgaon,Not Disclosed by Recruiter,2-7,asp_dot_net .net_developer dot_net_developer asp.net asp_._net,Programming_&_Design,GURGAON NCR DELHI,IT_Software,IT-Software Software_Services,Software Developer
Hiring a Valuation Associate female Only ,Not Disclosed by Recruiter,0-4,secondary_research valuation finance real_estate primary report_preparation business_development due_diligence financial_modelling,Other,GURGAON,Analytics_&_Business_Intelligence,Real_Estate Property,Other
Merchandising Marketing Professor,Not Disclosed by Recruiter,10-12,teaching educator counselor mentor trainer advisor,University_Level,PUNE,Teaching Education Training Counselling,Education Teaching Training,Lecturer/Professor
